role,path,exists,size_bytes
input,Output/4134/figure_source_map.csv,True,9158
input,Output/4134/main_figure_manifest.csv,True,1990
input,Output/4134/panel_metadata.csv,True,8986
input,Output/4131/decision.json,True,2527
input,Output/4131/positive_phenomenon_atlas.csv,True,3288
input,Output/4131/observation_positive_coverage_matrix.csv,True,6550
input,Output/4132/negative_boundary_atlas.csv,True,5968
input,Output/4133/observation_master_table.csv,True,23974
input,Output/4085/aggregate_profiles.csv,True,22768
input,Output/4090/grouped_oos_results.csv,True,6753
input,Output/4090/primary_metrics.csv,True,522
input,Output/4100/observation_level_effects.csv,True,2681
input,Output/4121/observation_level_effects.csv,True,6385
output_figure,Output/4150/figures/Fig1_final.png,True,438699
output_figure,Output/4150/figures/Fig1_final.pdf,True,21052
output_figure,mypaper2/Latex/figures/Fig1_final.png,True,438699
output_figure,mypaper2/Latex/figures/Fig1_final.pdf,True,21052
output_figure,Output/4150/figures/Fig2_final.png,True,201038
output_figure,Output/4150/figures/Fig2_final.pdf,True,16445
output_figure,mypaper2/Latex/figures/Fig2_final.png,True,201038
output_figure,mypaper2/Latex/figures/Fig2_final.pdf,True,16445
output_figure,Output/4150/figures/Fig3_final.png,True,295978
output_figure,Output/4150/figures/Fig3_final.pdf,True,17061
output_figure,mypaper2/Latex/figures/Fig3_final.png,True,295978
output_figure,mypaper2/Latex/figures/Fig3_final.pdf,True,17061
output_figure,Output/4150/figures/Fig4_final.png,True,314996
output_figure,Output/4150/figures/Fig4_final.pdf,True,26298
output_figure,mypaper2/Latex/figures/Fig4_final.png,True,314996
output_figure,mypaper2/Latex/figures/Fig4_final.pdf,True,26298
output_figure,Output/4150/figures/Fig5_final.png,True,350753
output_figure,Output/4150/figures/Fig5_final.pdf,True,28541
output_figure,mypaper2/Latex/figures/Fig5_final.png,True,350753
output_figure,mypaper2/Latex/figures/Fig5_final.pdf,True,28541
output_caption,Output/4150/figure_caption_final.md,True,2094
